살인 발생,살인 검거,강도 발생,강도 검거,강간 발생,강간 검거,절도 발생,절도 검거,폭력 발생,폭력 검거
13,10,21,18,449,349,3850,1650,4284,3705
4,3,6,8,156,123,2366,789,2712,2248
7,8,14,13,153,126,1434,618,2649,2348
9,8,12,14,320,221,2706,827,3298,2642
4,4,14,26,240,220,3026,1277,2625,2180
8,6,15,11,281,164,2335,889,3007,2432
3,4,6,6,151,122,1567,888,2054,1776
10,10,7,7,197,121,2193,801,2723,2329
3,3,9,10,102,106,1063,478,1487,1303
5,5,13,13,173,146,1981,814,2548,2227
5,5,9,5,285,139,1865,661,1910,1587
8,8,14,10,294,247,2555,813,2983,2519
2,2,5,4,154,124,1812,738,2056,1711
8,6,9,6,393,249,2635,1091,2399,2098
4,4,9,8,126,119,1607,597,1612,1395
5,5,5,4,150,124,1785,741,2209,1855
11,10,13,10,220,178,3239,1129,3295,2786
10,13,19,16,382,296,3986,1932,5716,4748
14,12,22,20,295,183,2964,978,3572,2961
5,5,14,14,194,173,1557,587,2050,1704
3,3,9,6,166,141,1914,711,2653,2306
6,5,11,9,211,161,2184,837,2293,1931
3,2,9,6,170,111,2548,859,2224,1964
13,12,11,9,187,148,2135,829,2847,2407
